# SPDX-License-Identifier: CC-BY-4.0
doc_id	title	authors	abstract	fields_of_study	doi_or_url	license
11	Development and Assessment of Boron, Cerium, and Silver Ternary-Doped Titanium Dioxide Photocatalysts for the UV-A Degradation of Ciprofloxacin Antibiotic	Yash Mishra; Dara Kiran; Hari Mahalingam	Due to the development of antimicrobial resistance, the continued presence of antibiotic residues in freshwater sources is a growing global concern and hence, it is necessary to degrade the antibiotics present in the polluted waters. In this study, three different boron, cerium, and silver ternary-doped TiO₂ photocatalysts with specific compositions were synthesized using the eco-friendly EDTA citrate method. The specific compositions investigated here are B₁Ce₀.₁Ag₀.₀₆TiO₂, B₁Ce₁Ag₀.₁₆TiO₂, and B₁Ce₁Ag₀.₁₀TiO₂. From DLS analysis, the particle size of the synthesized catalysts was found to be in the range of 125 – 500 nm. The XRD spectra confirmed the presence of cerium. The DRS analysis showed the bandgap energy of the synthesized catalysts to be in the range of 2.7 – 2.8 eV. ICP-OES analysis was done to check the leaching of the dopants from the catalysts into the solution and the results showed that silver did not leach out while boron (~0.2 ppm) and cerium (~0.1 ppm) were present in trace amounts. The catalysts were also evaluated for the degradation of ciprofloxacin antibiotic under UV-A light. At optimized conditions, the best performing photocatalyst namely, B₁Ce₁Ag₀.₁TiO₂ showed ~54% degradation of the antibiotic in 120 min. This is attributed to the increased amounts of cerium and silver. Although the performance under UV-A irradiation is not encouraging, these results suggest that these catalysts may be more effective under visible or solar light and further work is needed to check the effectiveness under visible light irradiation as well as on larger scales of treatment.	Chemical Engineering and Industrial Chemistry; Materials Science; Analytical Chemistry	https://doi.org/10.26434/chemrxiv-2025-0z4rr	CC BY 4.0
12	Development and characterization of the first selective class IIb histone deacetylase degraders	Shiyang Zhai; Irina Honin; Linda Schäker-Hübner; Maria Hanl; Lukas Jacobi; Finn Dressler; Dominika Ewa Pieńkowska; Philipp König; Jan Gerhardt; Rabea Vogel; Gerd Bendas; Michael Gütschow; Felix Meissner; Bjoern B. Burckhardt; Radosław P. Nowak; Christian Steinebach; Finn K. Hansen	Proteolysis-targeting chimeras (PROTACs) are emerging new therapeutic modalities that facilitate the targeted degradation of disease-relevant proteins via an event-driven mode of action. In this work, we report the design, synthesis, and biological evaluation of the first-in-class selective degraders of the class IIb histone deacetylases (HDACs) 6 and 10. To this end, the dual HDAC6/10 inhibitor tubastatin A and a ring-opened analog were connected via well-established PROTAC linkers to pomalidomide and phenylglutarimides as cereblon recruiters. This approach led to the discovery of AP1 (HDAC6 DC50 = 13 nM; HDAC10 DC50 = 29 nM) as a potent degrader of class IIb HDACs. Importantly, AP1 neither degraded HDAC1/8 (class I) and HDAC4/7 (class IIa), nor induced histone H3 hyperacetylation, thereby confirming its selectivity for class IIb HDACs. Due to its low cytotoxicity against hematological and solid cancer cell lines, AP1 represents a valuable tool compound for the chemical knockdown of class IIb HDACs.	Biological and Medicinal Chemistry	https://doi.org/10.26434/chemrxiv-2024-ngppg-v3	CC BY 4.0
13	Development of Repetitive Synergism in Calotropis procera Extract with Ampicillin for Combating Drug Resistance in Clinical Bacteria and Identification of its Bioactive Components using GS-MS Analysis	Mathew Gideon; Zakari Ladan; Yahaya Yakubu	The pursuit of innovative approaches to develop lead compounds that exhibit selectivity, efficacy, and safety as potential candidates for clinical trials poses a significant scientific challenge. Natural products, with their inherent diversity, offer unique pharmacophores, chemotypes, and scaffolds that can be harnessed to create effective drugs targeting various infections and diseases. This study introduces a straightforward, rudimentary, and environmentally sustainable method to enhance the antimicrobial activity of two less potent antimicrobial agents, fostering consistent and repetitive synergism against drug-resistant clinical bacteria. Utilizing gas chromatography-mass spectrometry (GC-MS) analysis, the study identified 53 phytochemicals in the extract, with oleic acid, 1,1,3,5,7,7,7-nonamethyl-3-(trimethylsiloxy) tetrasiloxane, 9-heptadecanone, cystamine, and tetrahydro-4H-pyran-4-ol emerging as the top five most abundant phytochemicals. The study's findings underscore the potential of medicinal plant phytochemicals in synthetic combination reactions, either with themselves or other drugs/agents, to yield a diverse array of compounds exhibiting significant pharmacological activities.	Biological and Medicinal Chemistry; Analytical Chemistry; Organic Chemistry	https://doi.org/10.26434/chemrxiv-2023-s8kps-v2	CC BY 4.0
14	Development of simplified, photo-active, and Tfr1-targeted poly(β-aminoester)-zwitterion nanovehicles for gene delivery across brain endothelium	Maria C Lucana; Shambhavi Pandey; Salvador Borrós; Benjamí Oller-Salvia	Although nucleotide-based therapeutics hold promise for a variety of diseases, their clinical application is limited because of low stability and poor bioavailability. Among non-viral gene delivery vectors, poly(β-aminoester)s (pBAEs) stand out because of their low cytotoxicity, high transfection capacity, and adequate biodegradation profile. Oligopeptide end-Modified pBAEs (OM-pBAEs) enable enhanced polynucleotide encapsulation, cellular internalization, and transfection. Despite the outstanding properties of OM-pBAEs as non-viral gene delivery vectors, traditional OM-pBAE formulations have low cell selectivity and require formulation with two or more polymers. In this study, we first develop a simplified OM-pBAE formulation with a single polymer (pBAE-CRHR) and then add a zwitterionic moiety as part of the end-capping process (pBAE-CRHR-Zw). Subsequently, we show that addition of a photo-cleavable moiety enabled selective recovery of transfection capacity. Finally, we functionalize pBAE-CRHR-Zw with BrainBike-4, a bicyclic peptidomimetic binding transferrin receptor 1, and show that the targeted polyplexes display improved capacity to transfect cells with high levels of Tfr1 and to transmigrate in a human cell-based model of the BBB.	Biological and Medicinal Chemistry; Materials Science	https://doi.org/10.26434/chemrxiv-2025-wcxb8	CC BY 4.0
15	Discrete Element Method Model of An Extrusion Process with Recirculation for Dry Manufacturing of Lithium-Ion Battery Electrodes	Pei Sun; Paul Vigneaux; Alejandro A. Franco	In this article, we report a computational modeling study to enhance the understanding of the solvent-free extrusion process employed to produce filaments for the 3D printing of lithium-ion battery electrodes. Our study is supported by a newly developed dynamic 3D-resolved numerical model capable of simulating the extrusion process, including material recirculation within the extruder. This model describes the extrusion process at the mesoscale through a granular approach based on the discrete element method. Our model accounts for the main features of the twin-screw extruder, allowing the simulation of several recirculation cycles and extrusion of active material, carbon additive, and binder mixtures. We discuss how different electrode material formulations, material injection sequences, twin-screw rotation speeds, and residence time in the extruder barrel affect the microstructure and particle distribution of the extruded filament. Finally, we calculate parameters including the porosity, tortuosity factor, effective diffusivity and electrical conductivity of the filament microstructures.	Materials Science; Energy	https://doi.org/10.26434/chemrxiv-2025-xzvw4	CC BY 4.0
16	Dispersion energy from the time-independent coupled-clusters polarization propagator	Piotr S. Żuchowski; Robert Moszynski	We present a new method of calculation of the dispersion energy in the second-order symmetry-adapted perturbation theory. Using the Longuet-Higgins integral and time-independent coupled-cluster response theory one shows that the general expression for the dispersion energy can be written in terms of cluster amplitudes and the excitation operators $\sigma$, which can be obtained by solving a linear equation. We introduced an approximate scheme dubbed CCPP2(T) for the dispersion energy accurate to the second order of intramonomer correlation, which includes certain classes to be summed to infinity. Assessment of the accuracy of the CCPP2(T) dispersion energy against the FCI dispersion for He$_2$ demonstrates its high accuracy. For more complex systems CCPP2(T) matches the accuracy of the best methods introduced for calculations of dispersion so far. The method can be extended to higher-order levels of excitations, providing a systematically improvable theory of dispersion interaction.	Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2022-s8zmq	CC BY 4.0
18	Dynamic Sorption and Interfacial Assembly of Polysaccharide on Hydrophobic v. Hydrophilic Surfaces	Behrooz Azimzadeh; Carmen Enid Martinez	The molecular structure and wettability of a surface plays a major role in dissolved organic matter (DOM) adsorption-desorption dynamics at water/solid interfaces. We studied the retention dynamics of a model DOM (i.e., a polysaccharide) at the water/diamond and water/goethite interface. In-situ adsorption-desorption experiments were conducted to probe the interfacial dynamicity of sorbed polysaccharide (PS) and its impact on surface wettability. Experiments revealed distinct bonding and kinetic behavior that depended on the polarity of the surface: goethite presented a higher adsorption capacity and binding strength but slower adsorption kinetics, compared to the diamond. Further, 2D correlation IR spectroscopy demonstrated surface polarity, surface loading and time alter the polysaccharide’s conformation and self-assembly during adsorption and desorption. On goethite, electrostatic interactions with the surface were followed by the formation of inter- and intra- molecular H-bonds between side groups of polysaccharide chains, while at greater PS loading hydrophobic interactions between PS groups became predominant. In contrast, the non-polar diamond surface promoted hydrophobic interactions that governed polysaccharide retention initially; subsequently, increased PS loading promoted H-bond formation between its charged hydrophilic groups. Both PS-goethite and PS-diamond organo-mineral associations developed a hydrophobic character (i.e., low wettability) upon PS adsorption. Thus, we posit the stronger retention of nonpolar organic pollutants observed in soils might be caused, at least in part, by pollutant-organic interactions within hydrophobic pockets in organo-mineral associations. This work helps us understand and predict interactions of importance to environmental and engineering systems such as the retention and transport of polar and nonpolar solutes in porous media.	Materials Science; Organic Chemistry; Earth, Space, and Environmental Chemistry	https://doi.org/10.26434/chemrxiv-2024-cfqrr	CC BY 4.0
19	Effects of Surface Chemistry on the Mechanochemical Decomposition of Lubricant Additives	Egheosa Ogbomo; Fakhru H. Bhuiyan; Carlos Ayestarán Latorre; Ashlie Martini; James P. Ewen	The growth of protective tribofilms from lubricant antiwear additives on rubbing surfaces is initiated by mechanochemical decomposition reactions. These processes are not well understood at the molecular scale for many important additives, such as tricresyl phosphate (TCP). One aspect that needs further clarification is the extent to which the surface properties affect the mechanochemical decomposition rate. In this study, we use nonequilibrium molecular dynamics (NEMD) simulations with a reactive force field (ReaxFF) to study the decomposition of TCP molecules confined and pressurised between sliding ferrous surfaces at a range of temperatures. We compare the decomposition of TCP on native iron, iron carbide, and iron oxide surfaces. We show that the decomposition rate of TCP molecules increases exponentially with temperature and shear stress, implying that this is a stress-augmented thermally activated process. The rates and products of decomposition depend on the properties of the confining surfaces. The activation energy, activation volume, and pre-exponential factor are similar for TCP decomposition between iron and iron carbide surfaces, but significantly different for iron oxide surfaces. These findings provide new insights into the mechanochemical decomposition of TCP and have important implications for the design of novel lubricant additives for use in high-temperature and high-pressure environments.	Physical Chemistry; Materials Science; Analytical Chemistry	https://doi.org/10.26434/chemrxiv-2023-6k06s	CC BY 4.0
20	Efficient Ethane Production via SnCl₄ Lewis Acid-Enhanced CO₂ Electroreduction in a Flow Cell Electrolyser	Sankeerthana Bellamkonda; Ian Brewis; Venkateswar Rao Gedela; Rana Faisal Shahzad; Mohamed Mamlouk; Shahid Rasul	The development of efficient and selective catalysts for electrochemical CO₂ reduction (CO₂RR) is critical for advancing sustainable energy solutions. Here, we report a unique catalyst system based on SnCl₄ Lewis acid-modified Cu₂O, demonstrating enhanced performance in CO₂ electroreduction to ethane. The SnCl₄ modification introduces chloride ions directly onto the Cu₂O surface, creating a synergistic interaction between Sn, Cl, and Cu active sites that optimizes the electronic environment for CO₂RR. The catalyst was coated onto a gas diffusion electrode (GDE) and tested in a flow cell electrolyser, with a Fumasep bipolar membrane and a platinum (Pt) foil as the anode. This system achieved a peak Faradaic efficiency of 34.8% for ethane production at -1.0 V vs. RHE, along with 11.3% efficiency for ethylene. Electrochemical studies revealed that the SnCl₄-modified Cu₂O exhibits low charge transfer resistance and high stability during prolonged electrolysis, with total current densities reaching 74.8 mA cm⁻² with a Tafel slope of 92.3 mV/dec at 0.4 V overpotential. Mechanistic investigations, supported by density functional theory, Raman, XRD, and electrochemical Impedance spectroscopy analyses, highlight the critical role of chloride ions in stabilizing CO intermediates and facilitating C-C bond formation, essential for C₂ product generation. Operating in a flow cell configuration, the system demonstrated high energy efficiency and selectivity, establishing the SnCl₄-modified Cu₂O (CTC) as a promising catalyst for CO₂RR. These findings offer a scalable and economically viable pathway for renewable hydrocarbon production, paving the way for practical applications in carbon-neutral energy cycles.	Energy; Catalysis; Materials Science	https://doi.org/10.26434/chemrxiv-2025-8fvxq	CC BY 4.0
21	Efficient Hydrogen Production on Crystalline-Amorphous Heterostructured Cobalt Boride-Phosphite Electrocatalyst	Jean Marie Vianney Nsanzimana; Charles Otieno Ogolla; Nastaran Farahbakhsh; Yilmaz Sakalli; Marco Hepp; Jonas Frohne; Walter Sebastian Scheld; Manuela S. Killian; Benjamin Butz	Targeted phase engineering of nanomaterials through non-equilibrium synthesis strategies provides a rich platform for the development and tuning of nanostructured catalysts with outstanding properties and life-time. Unconventional phases or even complex heterostructures play a crucial role in the performance of catalysts for efficient water electrolysis. By utilizing a controlled, iterative reduction synthesis route, a tailored binder-free cobalt boride-phosphite electrode (CoₓB-[0.2]P-O) with mixed crystalline-amorphous phases is developed. The tailored cobalt chemistry, hierarchical morphology and mixed phases synergistically enhance the catalytic activity for hydrogen evolution reaction (HER). Those electrodes exhibit platinum-like HER performance with an overpotential of 33 mV at the standard current density of 10 mA cm⁻², with excellent intrinsic kinetics and enhanced electron transfer in an alkaline 1M KOH electrolyte. Comprehensive microstructure and spectroscopic analyses proved the success of the one-pot strategy to modulate the chemistry of cobalt by incorporating boron and phosphite. Moreover, the tailored formation of nanostructures with locally varying morphology by the co-existence of amorphous and crystalline phases on the nanometer scale is confirmed. This approach facilitates the rational design for tuning the metal boride-based catalysts’ activity for hydrogen evolution by tailored chemistry of the metal active centers and thus the phase engineering of similar nanomaterials while avoiding the necessity of any post-synthesis thermal treatment processes.	Materials Science; Physical Chemistry; Energy; Catalysis; Inorganic Chemistry	https://doi.org/10.26434/chemrxiv-2025-9hfb5	CC BY 4.0
22	Electrocatalytic Oxidative Hydrofunctionalization Reactions of Alkenes via Co(II/III/IV) Cycle	Fan Yang; Yi-Chen Nie; Han-Yuan Liu; Lei Zhang; Fanyang Mo; Rong Zhu	Here we disclose a general and versatile Co(II/III/IV) electrocatalytic platform for alkene functionalization. Driven by electricity, a set of the oxidative hydrofunctionalization reactions initiated by hydrogen atom transfer were demonstrated without the need for stochiometric chemical oxidants. The scope of the reactions encompasses hydroalkoxylation, hydroacyloxylation, hydroarylation, semi-pinacol rearrangement, and deallylation. Mechanistic studies and stereochemical evidence support an ECEC process involving an electrochemically-generated organocobalt(IV) intermediate. This work presents an example of reactivity space expansion in electrocatalysis of VB12-systems by going beyond the common oxidation states of Co(I/II/III). Using electric current as a traceless reagent in transition metal catalysis has opened up a new avenue for the development of sustainable transformations. Transition metal complexes can serve as electron transfer mediators to reduce overpotentials, and meanwhile bring in rich and tunable reactivities for electrosynthesis.	Catalysis; Organometallic Chemistry; Energy	https://doi.org/10.26434/chemrxiv-2021-1j3tf	CC BY 4.0
23	Reinvigoration of Electrochemical Education: A Platform for Teaching Interdisciplinary Concepts and Addressing Misconceptions	Agatha Dutton ,James Ramwell ,Charles Osarinmwian	Reinvigoration of electrochemical education is important for the support of decarbonised economies and net zero climate change targets. Here, explicit instruction and fuel cell engineering are used to exemplify electrochemical science as a platform for teaching a variety of interdisciplinary concepts while addressing common misconceptions related to potentials. One-way analysis of variance of keyword data is consistent with students that struggle to connect overpotentials to the spatial dependence of the electrochemical potential, chemical potential and electric potential.	Chemical Education; Energy	https://doi.org/10.26434/chemrxiv-2024-rmq24	CC BY 4.0
